date,type,ticker,volume,price,total,vol_adj
2020-03-13,Buy,PETR4,50,14.24,712.0,50
2020-03-13,Buy,SUZB3,20,30.08,601.5999999999999,20
2020-03-16,Buy,MYPK3,50,11.8,590.0,50
2020-03-16,Buy,PETR4,50,13.3,665.0,50
2020-03-16,Buy,MGLU3,15,35.35,530.25,15
2020-03-16,Buy,WEGE3,25,27.66,691.5,25
2020-03-19,Buy,ENBR3,95,15.02,1426.8999999999999,95
2020-03-19,Buy,VLID3,95,7.73,734.35,95
2020-03-19,Buy,MGLU3,20,30.34,606.8,20
2020-03-25,Buy,EGIE3,15,38.0,570.0,15
2020-03-25,Buy,EGIE3,10,37.5,375.0,10
2020-03-25,Buy,IRBR3,90,8.83,794.7,90
2020-03-25,Buy,ITUB3,30,22.06,661.8,30
2020-06-12,Buy,HYPE3,50,33.01,1650.5,50
2020-06-12,Buy,PSSA3,35,51.0,1785.0,35
2020-07-27,Buy,ITUB3,25,25.56,639.0,25
2020-07-27,Buy,MYPK3,50,12.7,635.0,50
2020-07-27,Buy,MGLU3,25,79.38,1984.5,25
2020-07-27,Buy,EGIE3,32,44.7,1430.4,32
2020-08-08,Buy,ABEV3,80,13.36,1068.8,80
2020-08-08,Buy,ITUB3,50,24.32,1216.0,50
2020-08-21,Buy,IRBR3,200,7.73,1546.0,200
2020-08-31,Buy,ITSA4,100,9.6,960.0,100
2020-08-31,Buy,ODPV3,70,12.7,889.0,70
2020-09-08,Buy,ITUB3,30,23.23,696.9,30
2020-09-08,Buy,ABEV3,27,12.44,335.88,27
2020-09-14,Split,MGLU3,345,0.0,0.0,345
2020-09-23,Buy,IRBR3,65,6.32,410.8,65
2020-09-23,Buy,IRBR3,10,6.33,63.3,10
2020-09-23,Buy,IRBR3,99,6.33,626.67,99
2020-09-24,Buy,ITSA4,112,8.9,996.8000000000001,112
2020-11-05,Buy,ITUB3,20,23.73,474.6,20
2020-11-05,Buy,ODPV3,30,12.81,384.3,30
2020-11-26,Buy,PSSA3,26,48.01,1248.26,26
2020-12-15,Buy,ODPV3,45,13.66,614.7,45
2020-12-15,Buy,MYPK3,41,14.38,589.58,41
2020-12-18,Buy,ELET3,30,36.85,1105.5,30
2020-12-21,Buy,ELET3,50,36.07,1803.5,50
2021-01-04,Buy,ELET3,40,35.68,1427.2,40
